Date,Open,High,Low,Close,Adj Close,Volume
2017-06-22,65.510002,66.370003,65.379997,66.019997,65.545906,13441900
2017-06-23,66.040001,66.389999,65.839996,66.160004,65.684906,14093500
2017-06-26,66.150002,66.400002,65.830002,65.919998,65.446625,7576400
2017-06-27,66.269997,66.269997,65.540001,65.540001,65.069351,8121600
2017-06-28,65.760002,65.900002,65.139999,65.160004,64.692085,6733300
2017-06-29,65.010002,65.080002,64.089996,64.339996,63.877968,8350300
2017-06-30,64.489998,64.730003,64.000000,64.089996,63.629765,8360900
2017-07-03,63.849998,64.629997,63.849998,64.269997,63.808472,4671400
2017-07-05,64.470001,64.800003,63.919998,64.160004,63.699268,6507800
2017-07-06,63.770000,63.910000,62.990002,63.099998,62.646873,11342700
2017-07-07,63.209999,63.340000,62.810001,63.160000,62.706444,7243400
2017-07-10,63.389999,63.400002,62.610001,62.830002,62.378815,6713800
2017-07-11,62.820000,62.980000,62.240002,62.340000,61.892334,6877500
2017-07-12,62.660000,63.130001,62.660000,62.779999,62.329174,8216000
2017-07-13,62.790001,62.990002,62.279999,62.889999,62.438385,6799200
2017-07-14,62.930000,63.400002,62.860001,63.060001,62.607166,6020900
2017-07-17,63.150002,63.310001,62.529999,62.610001,62.160397,7387300
2017-07-18,62.500000,62.630001,62.270000,62.410000,61.961830,6114900
2017-07-19,62.500000,62.830002,62.439999,62.619999,62.170322,5699100
2017-07-20,62.910000,63.240002,62.860001,62.939999,62.488022,6655100
2017-07-21,62.790001,63.000000,62.580002,62.630001,62.180252,6906400
2017-07-24,62.540001,62.900002,62.500000,62.570000,62.120682,7783700
2017-07-25,62.849998,63.000000,62.250000,62.360001,61.912189,5955900
2017-07-26,62.310001,62.340000,61.720001,61.799999,61.356209,9366700
2017-07-27,63.669998,64.550003,62.799999,63.689999,63.232639,21846300
2017-07-28,63.810001,64.360001,63.220001,64.110001,63.649624,13342100
2017-07-31,64.250000,64.309998,63.509998,63.880001,63.421276,11714900
2017-08-01,64.040001,64.269997,63.770000,63.919998,63.460987,6490900
2017-08-02,63.950001,63.959999,63.169998,63.439999,62.984432,7034900
2017-08-03,63.209999,63.730000,63.180000,63.520000,63.063862,7018800
2017-08-04,63.630001,63.689999,62.939999,63.099998,62.646873,5341000
2017-08-07,62.950001,63.090000,62.660000,62.840000,62.388744,6696800
2017-08-08,62.540001,62.720001,62.200001,62.320000,61.872478,7680100
2017-08-09,62.450001,62.720001,62.220001,62.490002,62.041260,6552300
2017-08-10,62.369999,62.580002,62.169998,62.180000,61.733482,7765100
